0000226;I;0000034
0000227;I;0000827
0000228;O;0001189
0000229;O;0000876
0000230;I;0000405
0000231;M;0000431
0000232;O;0000752
0000233;I;0000465
0000234;I;0001760
0000235;I;0001765
0000236;O;0001422
0000237;O;0000256
0000238;I;0000085
0000239;M;0000443
0000240;O;0001831
0000241;I;0001450
0000242;I;0000546
0000243;I;0000939
0000244;O;0000390
0000245;O;0000159
0000246;I;0000152
0000247;M;0001897
0000248;O;0001991
0000249;I;0001048
0000250;I;0001843
0000251;I;0001318
0000252;O;0000379
0000253;O;0000829
0000254;I;0001317
0000255;M;0001974
0000256;O;0000834
0000257;I;0001352
0000258;I;0000800
0000259;I;0000022
0000260;O;0000228
0000261;O;0001206
0000262;I;0000454
0000263;M;0000980
0000264;O;0001672
0000265;I;0000214
0000266;I;0000745
0000267;I;0001093
0000268;O;0000470
0000269;O;0000830
0000270;I;0001537
0000271;M;0000301
0000272;O;0000279
0000273;I;0000083
0000274;I;0001240
0000275;I;0000669
0000276;O;0000243
0000277;O;0001393
0000278;I;0000566
0000279;M;0000233
0000280;O;0000440
0000281;I;0000408
0000282;I;0001552
0000283;I;0000820
0000284;O;0001238
0000285;O;0000869
0000286;I;0000793
0000287;M;0000071
0000288;O;0000221
0000289;I;0001594
0000290;I;0000094
0000291;I;0000449
0000292;O;0000799
0000293;O;0000549
0000294;I;0001429
0000295;M;0000471
0000296;O;0000763
0000297;I;0000173
0000298;I;0001565
0000299;I;0001234
0000300;O;0001004
0000301;O;0001102
0000302;I;0001535
0000303;M;0001283
0000304;O;0001185
0000305;I;0000775
0000306;I;0001953
0000307;I;0001429
0000308;O;0000168
0000309;O;0000518
0000310;I;0001662
0000311;M;0000608
0000312;O;0000927
0000313;I;0001214
0000314;I;0001428
0000315;I;0000164
0000316;O;0000082
0000317;O;0000221
0000318;I;0000236
0000319;M;0000303
0000320;O;0001815
0000321;I;0000330
0000322;I;0000753
0000323;I;0000614
0000324;O;0000879
0000325;O;0000182
0000326;I;0001085
0000327;M;0001643
0000328;O;0000356
0000329;I;0000649
0000330;I;0000876
0000331;I;0001360
0000332;O;0001751
0000333;O;0000411
0000334;I;0000642
0000335;M;0000936
0000336;O;0001187
0000337;I;0000594
0000338;I;0000364
0000339;I;0001355
0000340;O;0001113
0000341;O;0000026
0000342;I;0001964
0000343;M;0000039
0000344;O;0001240
0000345;I;0001392
0000346;I;0000204
0000347;I;0001323
0000348;O;0001613
0000349;O;0000440
0000350;I;0001627
0000351;M;0001427
0000352;O;0000770
0000353;I;0000379
0000354;I;0000040
0000355;I;0001650
0000356;O;0000562
0000357;O;0001126
0000358;I;0001293
0000359;M;0000918
0000360;O;0001776
0000361;I;0000168
0000362;I;0000277
0000363;I;0001527
0000364;O;0000580
0000365;O;0000919
0000366;I;0000462
0000367;M;0001767
0000368;O;0001514
0000369;I;0000827
0000370;I;0001122
0000371;I;0000626
0000372;O;0000854
0000373;O;0001085
0000374;I;0000666
0000375;M;0000094
0000376;O;0000477
0000377;I;0000870
0000378;I;0001417
0000379;I;0000089
0000380;O;0001310
0000381;O;0001044
0000382;I;0001517
0000383;M;0000080
0000384;O;0001424
0000385;I;0001558
0000386;I;0001731
0000387;I;0001986
0000388;O;0000683
0000389;O;0001023
0000390;I;0000903
0000391;M;0000459
0000392;O;0001192
0000393;I;0001180
0000394;I;0001986
0000395;I;0001773
0000396;O;0000099
0000397;O;0000447
0000398;I;0001539
0000399;M;0001613
0000400;O;0001275
